,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
499,16,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
514,31,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
533,50,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
553,70,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
587,104,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
625,142,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
667,184,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
714,231,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
762,279,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
810,327,The Moon,True,2022-03-06 19:09:34+00:00,127,897,1013020,"[{'text': 'crypto', 'indices': [7, 14]}]","Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP","['pick', 'crypto', 'team', 'team', 'team', 'ax', 'mana', 'sol', 'eth', 'httpstconrdpilsxop']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
