,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
15,15,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
34,34,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
57,57,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
72,72,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
82,82,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
97,97,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
118,118,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
133,133,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
146,146,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC","['looking', 'altcoins', 'skyrocket', 'weekend', 'bsc', 'eth', 'avax', 'ftm', 'gem', 'lowcap', 'altcoin', 'nft', 'btc']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
148,148,Candela,True,2022-03-05 14:25:15+00:00,65,136,1334464,"[{'text': 'Crypto', 'indices': [13, 20]}, {'text': 'BTC', 'indices': [62, 66]}, {'text': 'ETH', 'indices': [68, 72]}, {'text': 'BNB', 'indices': [73, 77]}, {'text': 'Altcoin', 'indices': [79, 87]}, {'text': 'memecoin', 'indices': [88, 97]}, {'text': 'Metaverse', 'indices': [98, 108]}, {'text': 'GameFi', 'indices': [109, 116]}, {'text': 'P2E', 'indices': [117, 121]}, {'text': 'NFTs', 'indices': [122, 127]}]","Good Morning #Crypto Fam! ☀️☕️

What are we buying today!? 👀

#BTC  #ETH #BNB  #Altcoin #memecoin #Metaverse #GameFi #P2E #NFTs","['good', 'morning', 'crypto', 'fam', 'buying', 'today', 'btc', 'eth', 'bnb', 'altcoin', 'memecoin', 'metaverse', 'gamefi', 'p2e', 'nfts']",0.7,Positive,0.0,0.0,1.0,0.0,Neutral
149,149,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
159,159,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
174,174,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
187,187,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC","['looking', 'altcoins', 'skyrocket', 'weekend', 'bsc', 'eth', 'avax', 'ftm', 'gem', 'lowcap', 'altcoin', 'nft', 'btc']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
189,189,Candela,True,2022-03-05 14:25:15+00:00,65,136,1334464,"[{'text': 'Crypto', 'indices': [13, 20]}, {'text': 'BTC', 'indices': [62, 66]}, {'text': 'ETH', 'indices': [68, 72]}, {'text': 'BNB', 'indices': [73, 77]}, {'text': 'Altcoin', 'indices': [79, 87]}, {'text': 'memecoin', 'indices': [88, 97]}, {'text': 'Metaverse', 'indices': [98, 108]}, {'text': 'GameFi', 'indices': [109, 116]}, {'text': 'P2E', 'indices': [117, 121]}, {'text': 'NFTs', 'indices': [122, 127]}]","Good Morning #Crypto Fam! ☀️☕️

What are we buying today!? 👀

#BTC  #ETH #BNB  #Altcoin #memecoin #Metaverse #GameFi #P2E #NFTs","['good', 'morning', 'crypto', 'fam', 'buying', 'today', 'btc', 'eth', 'bnb', 'altcoin', 'memecoin', 'metaverse', 'gamefi', 'p2e', 'nfts']",0.7,Positive,0.0,0.0,1.0,0.0,Neutral
190,190,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
198,198,David Gokhshtein,True,2022-03-05 12:56:39+00:00,20,121,610961,"[{'text': 'Ethereum', 'indices': [27, 36]}]","Tai Lopez stating he broke #Ethereum was funny. 

That’s all. 

$ETH.","['tai', 'lopez', 'stating', 'broke', 'ethereum', 'funny', 'eth']",0.25,Positive,0.0,0.0,1.0,0.0,Neutral
208,208,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
223,223,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
236,236,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC","['looking', 'altcoins', 'skyrocket', 'weekend', 'bsc', 'eth', 'avax', 'ftm', 'gem', 'lowcap', 'altcoin', 'nft', 'btc']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
238,238,Candela,True,2022-03-05 14:25:15+00:00,65,136,1334464,"[{'text': 'Crypto', 'indices': [13, 20]}, {'text': 'BTC', 'indices': [62, 66]}, {'text': 'ETH', 'indices': [68, 72]}, {'text': 'BNB', 'indices': [73, 77]}, {'text': 'Altcoin', 'indices': [79, 87]}, {'text': 'memecoin', 'indices': [88, 97]}, {'text': 'Metaverse', 'indices': [98, 108]}, {'text': 'GameFi', 'indices': [109, 116]}, {'text': 'P2E', 'indices': [117, 121]}, {'text': 'NFTs', 'indices': [122, 127]}]","Good Morning #Crypto Fam! ☀️☕️

What are we buying today!? 👀

#BTC  #ETH #BNB  #Altcoin #memecoin #Metaverse #GameFi #P2E #NFTs","['good', 'morning', 'crypto', 'fam', 'buying', 'today', 'btc', 'eth', 'bnb', 'altcoin', 'memecoin', 'metaverse', 'gamefi', 'p2e', 'nfts']",0.7,Positive,0.0,0.0,1.0,0.0,Neutral
239,239,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
247,247,David Gokhshtein,True,2022-03-05 12:56:39+00:00,20,121,610961,"[{'text': 'Ethereum', 'indices': [27, 36]}]","Tai Lopez stating he broke #Ethereum was funny. 

That’s all. 

$ETH.","['tai', 'lopez', 'stating', 'broke', 'ethereum', 'funny', 'eth']",0.25,Positive,0.0,0.0,1.0,0.0,Neutral
248,248,Cory Betts,True,2022-03-05 22:13:28+00:00,865,849,86672,"[{'text': 'ETH', 'indices': [49, 53]}]","I’ve teamed up with @nxtg3nz to giveaway $200 in #ETH + 2 WL spots!

👉 Follow @nxtg3nz (🔔)
👉 Like, Retweet, Tag 3 F… https://t.co/buR0wvI3JD","['teamed', 'nxtg3nz', 'giveaway', '200', 'eth', '2', 'wl', 'spot', 'follow', 'nxtg3nz', 'like', 'retweet', 'tag', '3', 'f', 'httpstcobur0wvi3jd']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
250,250,Túlio,True,2022-03-05 13:35:23+00:00,96,134,840626,"[{'text': 'altcoins', 'indices': [17, 26]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'AVAX', 'indices': [72, 77]}, {'text': 'FTM', 'indices': [78, 82]}, {'text': 'GEM', 'indices': [83, 87]}, {'text': 'LOWCAP', 'indices': [88, 95]}, {'text': 'ALTCOIN', 'indices': [96, 104]}, {'text': 'nft', 'indices': [105, 109]}, {'text': 'BTC', 'indices': [110, 114]}]","Looking for some #altcoins that will skyrocket this weekend 🔎

BSC #ETH #AVAX #FTM #GEM #LOWCAP #ALTCOIN #nft #BTC","['looking', 'altcoins', 'skyrocket', 'weekend', 'bsc', 'eth', 'avax', 'ftm', 'gem', 'lowcap', 'altcoin', 'nft', 'btc']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
251,251,The Moon,True,2022-03-05 03:30:02+00:00,135,968,1013020,"[{'text': 'altcoin', 'indices': [6, 14]}, {'text': 'ETH', 'indices': [32, 36]}]","Which #altcoin will be the next #ETH?

👇🏻👇🏻👇🏻","['altcoin', 'next', 'eth', '']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
252,252,Candela,True,2022-03-05 14:25:15+00:00,65,136,1334464,"[{'text': 'Crypto', 'indices': [13, 20]}, {'text': 'BTC', 'indices': [62, 66]}, {'text': 'ETH', 'indices': [68, 72]}, {'text': 'BNB', 'indices': [73, 77]}, {'text': 'Altcoin', 'indices': [79, 87]}, {'text': 'memecoin', 'indices': [88, 97]}, {'text': 'Metaverse', 'indices': [98, 108]}, {'text': 'GameFi', 'indices': [109, 116]}, {'text': 'P2E', 'indices': [117, 121]}, {'text': 'NFTs', 'indices': [122, 127]}]","Good Morning #Crypto Fam! ☀️☕️

What are we buying today!? 👀

#BTC  #ETH #BNB  #Altcoin #memecoin #Metaverse #GameFi #P2E #NFTs","['good', 'morning', 'crypto', 'fam', 'buying', 'today', 'btc', 'eth', 'bnb', 'altcoin', 'memecoin', 'metaverse', 'gamefi', 'p2e', 'nfts']",0.7,Positive,0.0,0.0,1.0,0.0,Neutral
253,253,OKX_Brasil (antiga OKEx),True,2022-03-05 00:00:58+00:00,17,54,4541,"[{'text': 'BTC', 'indices': [52, 56]}, {'text': 'ETH', 'indices': [67, 71]}, {'text': 'SHIB', 'indices': [106, 111]}]","Top 10 moedas mencionadas no Twitter esta semana 📣

#BTC 3,362,736
#ETH 806,761
CAKE 447,662
$XTZ 395,927
#SHIB 344… https://t.co/9QeuuntA7W","['top', '10', 'moedas', 'mencionadas', 'twitter', 'esta', 'semana', 'btc', '3362736', 'eth', '806761', 'cake', '447662', 'xtz', '395927', 'shib', '344', 'httpstco9qeuunta7w']",0.5,Positive,0.0,0.0,1.0,0.0,Neutral
263,263,The Moon,True,2022-03-05 16:55:01+00:00,266,1776,1013020,"[{'text': 'crypto', 'indices': [12, 19]}]","Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN","['choose', 'crypto', 'team', 'team', 'team', 'btc', 'eth', 'mana', 'sand', 'doge', 'httpstcofa0jvaeavn']",0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
